Ticker,Name
KHC,THE KRAFT HEINZ COMPANY (XNAS:KHC)
KIM,KIMCO REALTY CORPORATION. (XNYS:KIM)
KLAC,KLA Corporation (XNAS:KLAC)
KMB,KIMBERLY-CLARK CORPORATION (XNYS:KMB)
KMI,"KINDER MORGAN, INC. (XNYS:KMI)"
KMX,"CARMAX, INC. (XNYS:KMX)"
KO,THE COCA-COLA COMPANY (XNYS:KO)
KR,THE KROGER CO. (XNYS:KR)
KSS,KOHL'S CORPORATION (XNYS:KSS)
KSU,KSU
L,LOEWS CORPORATION (XNYS:L)
LB,"LB Group Co., Ltd. (XSHE:002601)"
LDOS,"LEIDOS HOLDINGS, INC. (XNYS:LDOS)"
LEG,"LEGGETT & PLATT, INCORPORATED (XNYS:LEG)"
LEN,Lenzing AG (XETR:LEN)
LH,LABORATORY CORPORATION OF AMERICA HOLDINGS (XNYS:LH)
LHX,"L3HARRIS TECHNOLOGIES, INC. (XNYS:LHX)"
LIN,LINDE PUBLIC LIMITED COMPANY (XETR:LIN)
LKQ,LKQ CORPORATION (XNAS:LKQ)
LLY,ELI LILLY AND COMPANY (XNYS:LLY)
LMT,LOCKHEED MARTIN CORPORATION (XNYS:LMT)
LNC,LINCOLN NATIONAL CORPORATION (XNYS:LNC)
LNT,ALLIANT ENERGY CORPORATION (XNAS:LNT)
LOW,"LOWE'S COMPANIES, INC. (XNYS:LOW)"
LRCX,LAM RESEARCH CORPORATION (XNAS:LRCX)
LUV,SOUTHWEST AIRLINES CO. (XNYS:LUV)
LVS,LAS VEGAS SANDS CORP. (XNYS:LVS)
LW,"LAMB WESTON HOLDINGS, INC. (XNYS:LW)"
LYB,LyondellBasell Industries NV (XNYS:LYB)
LYV,"LIVE NATION ENTERTAINMENT, INC. (XNYS:LYV)"
MA,MASTERCARD INCORPORATED. (XNYS:MA)
MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC. (XNYS:MAA)"
MAR,"MARRIOTT INTERNATIONAL, INC. (XNAS:MAR)"
MAS,MASCO CORPORATION (XNYS:MAS)
MCD,MCDONALD'S CORPORATION (XNYS:MCD)
MCHP,MICROCHIP TECHNOLOGY INCORPORATED (XNAS:MCHP)
MCK,MCKESSON CORPORATION (XNYS:MCK)
MCO,MOODY'S CORPORATION (XNYS:MCO)
MDLZ,"Mondelez International, Inc. (XNAS:MDLZ)"
MDT,MEDTRONIC PUBLIC LIMITED COMPANY (XNYS:MDT)
MET,"METLIFE, INC. (XNYS:MET)"
MGM,MGM RESORTS INTERNATIONAL (XNYS:MGM)
MHK,"MOHAWK INDUSTRIES, INC. (XNYS:MHK)"
MKC,"MCCORMICK & COMPANY, INCORPORATED (XNYS:MKC)"
MKTX,MARKETAXESS HOLDINGS INC. (XNAS:MKTX)
MLM,"MARTIN MARIETTA MATERIALS, INC. (XNYS:MLM)"
MMC,"MARSH & MCLENNAN COMPANIES, INC. (XNYS:MMC)"
MMM,3M COMPANY (XNYS:MMM)
MNST,MONSTER BEVERAGE CORPORATION (XNAS:MNST)
MO,"Altria Group, Inc. (XNYS:MO)"
MOS,THE MOSAIC COMPANY (XNYS:MOS)
MPC,MARATHON PETROLEUM CORPORATION (XNYS:MPC)
MRK,"MERCK & CO., INC. (XNYS:MRK)"
MRO,MARATHON OIL CORPORATION (XNYS:MRO)
MS,MORGAN STANLEY (XNYS:MS)
MSCI,MSCI INC. (XNYS:MSCI)
MSFT,MICROSOFT CORPORATION (XNAS:MSFT)
MSI,"MOTOROLA SOLUTIONS, INC. (XNYS:MSI)"
MTB,M&T BANK CORPORATION (XNYS:MTB)
MTD,METTLER-TOLEDO INTERNATIONAL INC. (XNYS:MTD)
MU,"MICRON TECHNOLOGY, INC. (XNAS:MU)"
MXIM,MXIM
MYL,MYL
NBL,NBL
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD. (XNYS:NCLH)
NDAQ,"Nasdaq, Inc. (XNAS:NDAQ)"
NEE,"NEXTERA ENERGY, INC. (XNYS:NEE)"
NEM,NEWMONT CORPORATION (XNYS:NEM)
NFLX,"NETFLIX, INC. (XNAS:NFLX)"
NI,NISOURCE INC. (XNYS:NI)
NKE,"NIKE, INC. (XNYS:NKE)"
NLOK,GEN DIGITAL INC. (XWBO:NLOK)
NLSN,NLSN
NOC,NORTHROP GRUMMAN CORPORATION (XNYS:NOC)
NOV,NOV INC. (XNYS:NOV)
NOW,"SERVICENOW, INC. (XNYS:NOW)"
NRG,"NRG ENERGY, INC. (XNYS:NRG)"
NSC,NORFOLK SOUTHERN CORPORATION (XNYS:NSC)
NTAP,"NETAPP, INC. (XNAS:NTAP)"
NTRS,NORTHERN TRUST CORPORATION (XNAS:NTRS)
NUE,NUCOR CORPORATION (XNYS:NUE)
NVDA,NVIDIA CORPORATION (XNAS:NVDA)
NVR,"NVR, Inc. (XNYS:NVR)"
NWL,NEWELL BRANDS INC. (XNAS:NWL)
NWS,NEWS CORPORATION (XNAS:NWS)
NWSA,NEWS CORPORATION (XNAS:NWSA)
O,REALTY INCOME CORPORATION (XNYS:O)
ODFL,"OLD DOMINION FREIGHT LINE, INC. (XNAS:ODFL)"
OKE,"ONEOK, INC. (XNYS:OKE)"
OMC,OMNICOM GROUP INC. (XNYS:OMC)
ORCL,ORACLE CORPORATION (XNYS:ORCL)
ORLY,"O'Reilly Automotive, Inc. (XNAS:ORLY)"
OTIS,OTIS WORLDWIDE CORPORATION (XNYS:OTIS)
OXY,OCCIDENTAL PETROLEUM CORPORATION (XNYS:OXY)
PAYC,"PAYCOM SOFTWARE, INC. (XNYS:PAYC)"
PAYX,"PAYCHEX, INC. (XNAS:PAYX)"
PBCT,PBCT
PCAR,PACCAR INC (XNAS:PCAR)
PEAK,"HEALTHPEAK PROPERTIES, INC. (XNYS:PEAK)"
PEG,PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED (XNYS:PEG)
PEP,"PEPSICO, INC. (XNAS:PEP)"
PFE,PFIZER INC. (XNYS:PFE)
PFG,"PRINCIPAL FINANCIAL GROUP, INC. (XNAS:PFG)"
PG,THE PROCTER & GAMBLE COMPANY (XNYS:PG)
PGR,THE PROGRESSIVE CORPORATION (XNYS:PGR)
PH,PARKER-HANNIFIN CORPORATION (XNYS:PH)
PHM,"PULTEGROUP, INC. (XNYS:PHM)"
PKG,PACKAGING CORPORATION OF AMERICA (XNYS:PKG)
PKI,PARKLAND CORPORATION. (XTSE:PKI)
PLD,"PROLOGIS, INC. (XNYS:PLD)"
PM,Philip Morris International Inc. (XNYS:PM)
PNC,"THE PNC FINANCIAL SERVICES GROUP, INC. (XNYS:PNC)"
PNR,PENTAIR PUBLIC LIMITED COMPANY (XNYS:PNR)
PNW,PINNACLE WEST CAPITAL CORPORATION (XNYS:PNW)
PPG,"PPG INDUSTRIES, INC. (XNYS:PPG)"
PPL,PPL CORPORATION (XNYS:PPL)
PRGO,PERRIGO COMPANY PUBLIC LIMITED COMPANY (XNYS:PRGO)
PRU,"PRUDENTIAL FINANCIAL, INC. (XNYS:PRU)"
PSA,PUBLIC STORAGE. (XNYS:PSA)
PSX,PHILLIPS 66 (XNYS:PSX)
PVH,PVH CORP. (XNYS:PVH)
PWR,"QUANTA SERVICES, INC. (XNYS:PWR)"
PXD,PIONEER NATURAL RESOURCES COMPANY (XNYS:PXD)
PYPL,"PAYPAL HOLDINGS, INC. (XNAS:PYPL)"
QCOM,QUALCOMM INCORPORATED (XNAS:QCOM)
QRVO,"QORVO, INC. (XNAS:QRVO)"
RCL,ROYAL CARIBBEAN CRUISES LTD. (XNYS:RCL)
RE,"RENEWABLE ENERGY AND POWER, INC. (OTCM:RBNW)"
REG,REGENCY CENTERS CORPORATION (XNAS:REG)
REGN,"REGENERON PHARMACEUTICALS, INC. (XNAS:REGN)"
RF,REGIONS FINANCIAL CORPORATION (XNYS:RF)
RHI,ROBERT HALF INC. (XNYS:RHI)
RJF,"RAYMOND JAMES FINANCIAL, INC. (XNYS:RJF)"
RL,RALPH LAUREN CORPORATION (XNYS:RL)
RMD,RESMED INC. (XNYS:RMD)
ROK,"ROCKWELL AUTOMATION, INC. (XNYS:ROK)"
ROL,"ROLLINS, INC. (XNYS:ROL)"
ROP,"ROPER TECHNOLOGIES, INC. (XNAS:ROP)"
ROST,"ROSS STORES, INC. (XNAS:ROST)"
RSG,"REPUBLIC SERVICES, INC. (XNYS:RSG)"
RTX,RTX CORPORATION (XNYS:RTX)
SBAC,SBA Communications Corporation (XNAS:SBAC)
SBUX,STARBUCKS CORPORATION (XNAS:SBUX)
SCHW,THE CHARLES SCHWAB CORPORATION (XNYS:SCHW)
SEE,SEALED AIR CORPORATION (XNYS:SEE)
SHW,THE SHERWIN-WILLIAMS COMPANY (XNYS:SHW)
SIVB,SVB FINANCIAL GROUP (OTCM:SIVPQ)
SJM,THE J. M. SMUCKER COMPANY (XNYS:SJM)
SLB,Schlumberger N.V. (XNYS:SLB)
SLG,SL GREEN REALTY CORP. (XNYS:SLG)
SNA,SNAP-ON INCORPORATED (XNYS:SNA)
SNPS,"SYNOPSYS, INC. (XNAS:SNPS)"
SO,THE SOUTHERN COMPANY (XNYS:SO)
SPG,"SIMON PROPERTY GROUP, INC. (XNYS:SPG)"
SPGI,S&P Global Inc. (XNYS:SPGI)
SRE,SEMPRA (XNYS:SRE)
STE,STERIS PUBLIC LIMITED COMPANY (XNYS:STE)
STT,STATE STREET CORPORATION (XNYS:STT)
STX,SEAGATE TECHNOLOGY HOLDINGS PUBLIC LIMITED COMPANY (XNAS:STX)
STZ,"CONSTELLATION BRANDS, INC. (XNYS:STZ)"
SWK,"STANLEY BLACK & DECKER, INC. (XNYS:SWK)"
SWKS,"SKYWORKS SOLUTIONS, INC. (XNAS:SWKS)"
SYF,SYNCHRONY FINANCIAL (XNYS:SYF)
SYK,STRYKER CORPORATION (XNYS:SYK)
SYY,SYSCO CORPORATION (XNYS:SYY)
T,AT&T INC. (XNYS:T)
TAP,MOLSON COORS BEVERAGE COMPANY (XNYS:TAP)
TDG,TRANSDIGM GROUP INCORPORATED (XNYS:TDG)
TDY,TELEDYNE TECHNOLOGIES INCORPORATED (XNYS:TDY)
TEL,TE Connectivity Ltd (XNYS:TEL)
TFC,Truist Financial Corporation (XNYS:TFC)
TFX,TELEFLEX INCORPORATED (XNYS:TFX)
TGT,TARGET CORPORATION (XNYS:TGT)
TIF,Ninepoint Target Income ETF (NEOE:TIF)
TJX,"THE TJX COMPANIES, INC. (XNYS:TJX)"
TMO,THERMO FISHER SCIENTIFIC INC. (XNYS:TMO)
TMUS,"T-MOBILE US, INC. (XNAS:TMUS)"
TPR,"TAPESTRY, INC. (XNYS:TPR)"
TROW,"T. ROWE PRICE GROUP, INC. (XNAS:TROW)"
TRV,"The Travelers Companies, Inc. (XNYS:TRV)"
TSCO,TRACTOR SUPPLY COMPANY (XNAS:TSCO)
TSN,"TYSON FOODS, INC. (XNYS:TSN)"
TT,Trane Technologies plc (XNYS:TT)
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC. (XNAS:TTWO)"
TWTR,TWTR
TXN,TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN)
TXT,TEXTRON INC. (XNYS:TXT)
TYL,"TYLER TECHNOLOGIES, INC. (XNYS:TYL)"
UA,"UNDER ARMOUR, INC. (XNYS:UA)"
UAA,"UNDER ARMOUR, INC. (XNYS:UAA)"
UAL,"UNITED AIRLINES HOLDINGS, INC. (XNAS:UAL)"
UDR,"UDR, INC. (XNYS:UDR)"
UHS,"UNIVERSAL HEALTH SERVICES, INC. (XNYS:UHS)"
ULTA,"ULTA BEAUTY, INC. (XNAS:ULTA)"
UNH,UNITEDHEALTH GROUP INCORPORATED (XNYS:UNH)
UNM,UNUM GROUP (XNYS:UNM)
UNP,UNION PACIFIC CORPORATION (XNYS:UNP)
UPS,"UNITED PARCEL SERVICE, INC. (XNYS:UPS)"
URI,"UNITED RENTALS, INC. (XNYS:URI)"
USB,U.S. BANCORP (XNYS:USB)
V,VISA INC. (XNYS:V)
VAR,Var Energi ASA (XOSL:VAR)
VFC,V.F. CORPORATION (XNYS:VFC)
VIAC,VIAC
VLO,VALERO ENERGY CORPORATION (XNYS:VLO)
VMC,VULCAN MATERIALS COMPANY (XNYS:VMC)
VNO,VORNADO REALTY TRUST (XNYS:VNO)
